"","guanay_cormorant","peruvian_booby","peruvian_pelican"
"guanay_cormorant",0.00875980562869815,0.00853693052312359,0.00585575689403999
"peruvian_booby",0.0088634269493733,0.00863791541397779,0.00592502569846701
"peruvian_pelican",0.0112504691327315,0.0109642242544769,0.00752071620965494
