"","Ctenotus_schomburgkii","Ctenotus_leonhardii","Ctenotus_regius","Lucasium_stenodactylum","Rhynchoedura_ornata","Diplodactylus_conspicillatus"
"Ctenotus_schomburgkii",0,0,0,0,0,0
"Ctenotus_leonhardii",0,0,0,0,0,0
"Ctenotus_regius",0,0,0,0,0,0
"Lucasium_stenodactylum",0,0,0,0,0,0
"Rhynchoedura_ornata",0,0,0,0,0,0
"Diplodactylus_conspicillatus",0,0,0,0,0,0
