"","Ctenotus_schomburgkii","Ctenotus_leonhardii","Ctenotus_regius","Lucasium_stenodactylum","Rhynchoedura_ornata","Diplodactylus_conspicillatus"
"Ctenotus_schomburgkii",-2.87918698513205e-05,1.45125513514396e-05,-7.40955980963714e-06,-1.21431015941278e-05,1.27104287329404e-05,1.07288326015014e-05
"Ctenotus_leonhardii",2.94049772349493e-05,-3.43825066653715e-05,-1.3302112780816e-05,1.67738494510366e-05,1.07188170662626e-05,-2.80297069046077e-05
"Ctenotus_regius",-3.84375074095168e-05,1.92339443847596e-05,-2.81118902938126e-05,-1.4088999651421e-05,3.00772353429679e-05,3.78753289645338e-05
"Lucasium_stenodactylum",5.81604217339757e-06,2.12971973514057e-05,-7.49900859406133e-06,-5.58283999527305e-05,1.70365616276008e-05,-2.68958018358818e-05
"Rhynchoedura_ornata",-1.94501801259865e-05,2.81579384592524e-05,1.56713882794032e-06,-6.0335017378704e-05,-2.95243476824655e-06,4.45596251718008e-05
"Diplodactylus_conspicillatus",1.74102242740828e-05,6.27663022853748e-06,-2.01282135186627e-06,-8.78052506614397e-06,9.98504615343485e-06,-5.62097830213122e-05
