"","Ctenotus_schomburgkii","Ctenotus_leonhardii","Ctenotus_regius","Lucasium_stenodactylum","Rhynchoedura_ornata","Diplodactylus_conspicillatus"
"Ctenotus_schomburgkii",4.01510790583262e-06,2.64679729438395e-06,9.2293112230829e-07,5.8686943692785e-06,1.88833817640821e-06,5.72456433771493e-06
"Ctenotus_leonhardii",6.52457124582133e-06,4.30105938009008e-06,1.49976787765497e-06,9.53665889693384e-06,3.06855936556075e-06,9.30244684543881e-06
"Ctenotus_regius",8.47695831120997e-06,5.58809149067274e-06,1.94855252496712e-06,1.23903712369319e-05,3.98678301413152e-06,1.20860744913369e-05
"Lucasium_stenodactylum",2.88867964220256e-06,1.90424507650641e-06,6.64005154206248e-07,4.22224715958862e-06,1.35856972607393e-06,4.11855244010104e-06
"Rhynchoedura_ornata",2.54476081509303e-06,1.67753051679088e-06,5.84950394899269e-07,3.71955718674516e-06,1.19682188117217e-06,3.62820809596026e-06
"Diplodactylus_conspicillatus",3.36399237397585e-06,2.21757574705109e-06,7.73262719201123e-07,4.91698942256793e-06,1.58211320191341e-06,4.79623243709902e-06
