"","BEMA","CETE","HOMA","LEMA","PAIN","PLCO","POMA"
"BEMA",3.20439090847766e-05,5.23728231585985e-05,2.66053453557215e-06,8.82504469961233e-06,4.59700228251526e-05,2.50460291408247e-05,2.18644707832443e-05
"CETE",2.95578067289701e-05,4.83624184179159e-05,2.45828828401559e-06,8.09717094941869e-06,4.25934920832929e-05,2.31307014562731e-05,2.02257797661774e-05
"HOMA",5.16538020661346e-05,8.52292463364673e-05,4.2836005018138e-06,1.42531141198433e-05,7.47501839582569e-05,4.071480972598e-05,3.54370544394647e-05
"LEMA",4.45211731838479e-05,7.27895620074942e-05,3.69125106671187e-06,1.22801380136335e-05,6.38179968345348e-05,3.48034709639148e-05,3.0365654930379e-05
"PAIN",3.88467946743377e-05,6.4045636699961e-05,3.25419432321382e-06,1.05320950878937e-05,5.6820247514967e-05,3.06190250809003e-05,2.67995101599417e-05
"PLCO",2.85655301727914e-05,4.72524907228642e-05,2.40467232887383e-06,7.61770458981407e-06,4.23246080791433e-05,2.25719240227909e-05,1.98486076376989e-05
"POMA",4.36730982514253e-05,7.12711096768058e-05,3.61196011700427e-06,1.20302174089657e-05,6.24935455179546e-05,3.40762805899008e-05,2.97698476086993e-05
