"","BEMA","CETE","HOMA","LEMA","PAIN","PLCO","POMA"
"BEMA",0.0773855155167004,0.0200700980038612,-0.00159184770220267,-0.00114985175766839,0.109502721864808,-0.0205971599897357,-0.000787165072120662
"CETE",0.0397144456905393,-0.0531328065824125,0.00546079082067076,-0.020136642107451,0.073934876273273,-0.0421183453358404,0.0939241837439998
"HOMA",0.0299993473189375,-0.0747336503001096,-0.0399590117967859,-0.031882339070985,-0.00759725356716116,0.0159931203194946,0.100553158884159
"LEMA",0.0645204429789469,0.0656038182947604,-0.0109984680729024,-0.119500408345905,0.0977945215800674,0.0072847348303155,0.188700944199203
"PAIN",0.0228484960551466,0.0726154465724747,-0.0269680388151208,-0.00272895548225377,0.186693557889378,-0.037592824792666,0.105666738303901
"PLCO",-0.0265710776681742,0.0601237533257748,-0.00501672698761954,-0.000341543597740581,-0.014700853560572,-0.0899356976955038,0.127623280153433
"POMA",0.167732402329318,0.00643924047742861,-0.00109869221988623,-0.0250201715531173,0.0555454735683131,-0.0551850897312526,0.16684109338899
