"","BEMA","CETE","HOMA","LEMA","PAIN","PLCO","POMA"
"BEMA",0.010675154273762,0.0211468185256036,0.00117795847708585,0.00394706866097138,0.0176900391207166,0.0108654497311516,0.00882484804657096
"CETE",0.00979929632001891,0.0195071427339505,0.00108754133653856,0.00361124662926002,0.0163852308291524,0.0100367119148937,0.008158642607311
"HOMA",0.0171726320158234,0.0344026453599598,0.00190331633395684,0.00637761558471103,0.0287638791025353,0.017661823148177,0.0143018755379027
"LEMA",0.0148494435799179,0.0293986225364849,0.001635629607693,0.00549652662653683,0.0245603483977812,0.0150991547088235,0.0122584654971103
"PAIN",0.0127413110845678,0.0257716733371522,0.00143714939790991,0.00467194504446204,0.0218434447433739,0.0132804410824099,0.0107938350990507
"PLCO",0.00924944512431333,0.0189584586954925,0.00105879112065504,0.00335078572691375,0.0162558371900028,0.00979080209018702,0.00797982495401052
"POMA",0.0145612526947745,0.028783744094384,0.00160109755344968,0.00538106232265849,0.0240494119150488,0.0147906377191804,0.0120188671013205
