"","BEMA","CETE","HOMA","LEMA","PAIN","PLCO","POMA"
"BEMA",-0.000660497885126975,-7.43774012123299e-05,1.69465749968934e-06,2.3303262615384e-06,-0.000250691705750168,3.97344135318378e-05,7.75452322926954e-07
"CETE",-7.67467142469344e-05,-0.000114337471602872,-1.40153741143571e-05,4.57028787927381e-05,-0.000156453120795423,9.16973696931282e-05,-0.000217552936267865
"HOMA",-7.49714355856917e-05,0.00019007652723609,6.44163332894328e-05,6.37151104245763e-05,0.000113316896138934,-3.34604313411198e-05,-0.000224052515412812
"LEMA",-0.000101879610229591,-0.00017007709408894,1.73104533658256e-05,0.000198465878105934,-0.000199390854926464,-3.57923594039722e-05,-0.000470775605194143
"PAIN",3.73539234057748e-05,-0.000207181846461684,6.1600776150433e-05,-6.99240907008582e-07,-0.000664371266311282,5.14491856425031e-05,-0.000284453645115199
"PLCO",7.52462609988998e-05,-0.000140587967455232,1.07260014614296e-05,4.15871783636268e-07,5.7542804930018e-05,0.000112727092765997,-0.000328239917994711
"POMA",-0.000488269165975999,-9.26818261139267e-05,-8.47458313451373e-06,5.42945524434159e-05,-0.000153661486897239,8.43973821626409e-05,-0.000551715749522247
