"","Bombus","Flavipanurgus","Dasypoda","Xylocopa","Lasioglossum"
"Bombus",0.324042459682643,-0.0858997706751443,-0.299237487650182,-0.193166006672514,-0.689788450164013
"Flavipanurgus",1.12640871545009,-0.255027725927718,0.68515758070932,-0.143591665698514,0.0501591133741076
"Dasypoda",-0.0644578787738541,-0.190605138899742,-0.267078421300685,-0.117614934936938,1.10106278053691
"Xylocopa",-0.335919831756555,-0.151651697398384,0.0576371315132271,0.183965266202443,0.4566670262774
"Lasioglossum",-0.0144814667213347,-0.153335898849094,0.881871649489304,-0.16257134564946,-0.276942523628131
