"","Bombus","Flavipanurgus","Dasypoda","Xylocopa","Lasioglossum"
"Bombus",0.450882875884904,0.174985180637437,0.520787553798257,0.258064611960722,0.772430907097708
"Flavipanurgus",0.667837434196278,0.257827275380623,0.773361931211076,0.385453207453862,1.14573685348754
"Dasypoda",0.451470760742536,0.17521333638281,0.52146658326719,0.25840109127095,0.77343804585145
"Xylocopa",0.342999832745402,0.133116361528016,0.396178371800527,0.196317322645034,0.58761085594773
"Lasioglossum",0.3966957093426,0.153955437957705,0.458199232815655,0.227050371861802,0.679600055421493
