"","Bombus","Flavipanurgus","Dasypoda","Xylocopa","Lasioglossum"
"Bombus",-0.000908853562832048,0.000147715115056266,0.000551732164623685,0.000432135543175192,0.00181013412388541
"Flavipanurgus",-0.00276902176614945,0.000224425471941081,-0.00138942515618984,0.000365187594109557,0.000323815529414997
"Dasypoda",0.000270713705008877,0.000378610506442764,-0.000158816890023833,0.000220127333814682,-0.00222161361259341
"Xylocopa",0.000993162593979396,0.000380028579283642,-0.000489734164707898,-0.000499299959933115,-0.00166331835009087
"Lasioglossum",7.50104479330074e-05,0.000373833823613477,-0.00163959644872705,0.000203509491978738,-0.000601139714458078
