"","Rissa_tridactyla","Uria_aalge","Uria_lomvia"
"Rissa_tridactyla",0.00019340509235414,0.000506358118256622,0.000629305985142478
"Uria_aalge",0.00302796855280655,0.00792759094332364,0.00985247446129916
"Uria_lomvia",0.00275821883101742,0.00722135327469347,0.0089747565462942
